iter	RMSE
1402	nan
1403	nan
1404	nan
1405	nan
1406	nan
1407	nan
1408	nan
1409	nan
1410	7.709928817
1411	nan
1412	nan
1413	nan
1414	nan
1415	nan
1416	nan
1417	nan
1418	nan
1419	nan
1420	7.653282992
1421	nan
1422	nan
1423	nan
1424	nan
1425	nan
1426	nan
1427	nan
1428	nan
1429	nan
1430	7.589762428
1431	nan
1432	nan
1433	nan
1434	nan
1435	nan
1436	nan
1437	nan
1438	nan
1439	nan
1440	7.536877752
1441	nan
1442	nan
1443	nan
1444	nan
1445	nan
1446	nan
1447	nan
1448	nan
1449	nan
1450	7.488308541
1451	nan
1452	nan
1453	nan
1454	nan
1455	nan
1456	nan
1457	nan
1458	nan
1459	nan
1460	7.434712235
1461	nan
1462	nan
1463	nan
1464	nan
1465	nan
1466	nan
1467	nan
1468	nan
1469	nan
1470	7.379307002
1471	nan
1472	nan
1473	nan
1474	nan
1475	nan
1476	nan
1477	nan
1478	nan
1479	nan
1480	7.322259931
1481	nan
1482	nan
1483	nan
1484	nan
1485	nan
1486	nan
1487	nan
1488	nan
1489	nan
1490	7.264320295
1491	nan
1492	nan
1493	nan
1494	nan
1495	nan
1496	nan
1497	nan
1498	nan
1499	nan
1500	7.212776925
1501	nan
1502	nan
1503	nan
1504	nan
1505	nan
1506	nan
1507	nan
1508	nan
1509	nan
1510	7.169454409
1511	nan
1512	nan
1513	nan
1514	nan
1515	nan
1516	nan
1517	nan
1518	nan
1519	nan
1520	7.113399165
1521	nan
1522	nan
1523	nan
1524	nan
1525	nan
1526	nan
1527	nan
1528	nan
1529	nan
1530	7.063355003
1531	nan
1532	nan
1533	nan
1534	nan
1535	nan
1536	nan
1537	nan
1538	nan
1539	nan
1540	7.002539708
1541	nan
1542	nan
1543	nan
1544	nan
1545	nan
1546	nan
1547	nan
1548	nan
1549	nan
1550	6.947167629
1551	nan
1552	nan
1553	nan
1554	nan
1555	nan
1556	nan
1557	nan
1558	nan
1559	nan
1560	6.900419996
1561	nan
1562	nan
1563	nan
1564	nan
1565	nan
1566	nan
1567	nan
1568	nan
1569	nan
1570	6.851215234
1571	nan
1572	nan
1573	nan
1574	nan
1575	nan
1576	nan
1577	nan
1578	nan
1579	nan
1580	6.810583845
1581	nan
1582	nan
1583	nan
1584	nan
1585	nan
1586	nan
1587	nan
1588	nan
1589	nan
1590	6.761574864
1591	nan
1592	nan
1593	nan
1594	nan
1595	nan
1596	nan
1597	nan
1598	nan
1599	nan
1600	6.714490968
1601	nan
1602	nan
1603	nan
1604	nan
1605	nan
1606	nan
1607	nan
1608	nan
1609	nan
1610	6.664302785
1611	nan
1612	nan
1613	nan
1614	nan
1615	nan
1616	nan
1617	nan
1618	nan
1619	nan
1620	6.624735812
1621	nan
1622	nan
1623	nan
1624	nan
1625	nan
1626	nan
1627	nan
1628	nan
1629	nan
1630	6.57965985
1631	nan
1632	nan
1633	nan
1634	nan
1635	nan
1636	nan
1637	nan
1638	nan
1639	nan
1640	6.531375117
1641	nan
1642	nan
1643	nan
1644	nan
1645	nan
1646	nan
1647	nan
1648	nan
1649	nan
1650	6.47682811
1651	nan
1652	nan
1653	nan
1654	nan
1655	nan
1656	nan
1657	nan
1658	nan
1659	nan
1660	6.426361544
1661	nan
1662	nan
1663	nan
1664	nan
1665	nan
1666	nan
1667	nan
1668	nan
1669	nan
1670	6.383440437
1671	nan
1672	nan
1673	nan
1674	nan
1675	nan
1676	nan
1677	nan
1678	nan
1679	nan
1680	6.334354744
1681	nan
1682	nan
1683	nan
1684	nan
1685	nan
1686	nan
1687	nan
1688	nan
1689	nan
1690	6.292286078
1691	nan
1692	nan
1693	nan
1694	nan
1695	nan
1696	nan
1697	nan
1698	nan
1699	nan
1700	6.247180005
1701	nan
1702	nan
1703	nan
1704	nan
1705	nan
1706	nan
1707	nan
